name,gender,val
aaban,M,72
aabha,F,21
aabid,M,5
aabriella,F,10
aadam,M,157
aadan,M,112
aadarsh,M,158
aaden,F,5
aaden,M,3915
aadesh,M,15
aadhav,M,102
aadhavan,M,19
aadhi,M,12
aadhira,F,29
aadhya,F,639
aadhyan,M,5
aadi,F,16
aadi,M,667
aadian,M,5
aadil,M,243
aadin,M,112
aadish,M,17
aadison,F,11
aadit,M,267
aadith,M,39
aaditri,F,26
aaditya,M,451
aadiv,M,11
aadon,M,100
aadrian,M,5
aadrika,F,10
aadrit,M,5
aadvik,M,26
aadvika,F,13
aadya,F,558
aadyn,F,16
aadyn,M,387
aafreen,F,5
aagam,M,8
aahaan,M,12
aahan,M,165
aahana,F,377
aahil,M,329
aahliyah,F,24
aahna,F,72
aahron,M,5
aaidan,M,38
aaiden,M,543
aaidyn,M,38
aaila,F,18
aailiyah,F,5
aailyah,F,151
aaima,F,21
aaira,F,73
aairah,F,24
aaisha,F,93
aaishah,F,18
aaiyana,F,5
aaiza,F,16
aaja,F,5
aajah,F,29
aajaylah,F,20
aajon,M,8
aakanksha,F,5
aakarsh,M,53
aakash,M,560
aakeem,M,5
aakilah,F,18
aakira,F,5
aakiyah,F,5
aakriti,F,30
aala,F,58
aalaiya,F,7
aalaiyah,F,34
aalana,F,43
aalanah,F,21
aalani,F,34
aalaya,F,111
aalayah,F,557
aalayiah,F,7
aalayjah,F,6
aalayna,F,30
aalaysha,F,17
aalaysia,F,109
aalea,F,7
aaleah,F,227
aaleahya,F,15
aaleeya,F,5
aaleeyah,F,82
aaleigha,F,132
aaleiyah,F,32
aalexis,F,14
aaleya,F,16
aaleyah,F,709
aalia,F,324
aaliah,F,731
aaliana,F,7
aalias,M,5
aaliayah,F,103
aaliayh,F,47
aalicia,F,5
aaliha,F,12
aalijah,F,97
aalijah,M,155
aalim,M,21
aalimah,F,11
aalina,F,36
aalisha,F,30
aalivia,F,47
aaliya,F,929
aaliyaa,F,5
aaliyah,F,64134
aaliyah,M,78
aaliyaha,F,21
aaliyahmarie,F,22
aaliyahrose,F,12
aaliyan,F,83
aaliyana,F,93
aaliyha,F,362
aaliyiah,F,31
aalliyah,F,138
aallyah,F,5
aalok,M,5
aalya,F,32
aalyah,F,533
aalycia,F,25
aalyha,F,19
aalyia,F,5
aalyiah,F,605
aalysia,F,6
aalyssa,F,105
aalyvia,F,5
aamani,F,127
aamar,M,5
aamari,F,67
aamari,M,88
aamarion,M,10
aamaya,F,5
aamena,F,10
aamer,M,15
aamia,F,11
aamil,M,12
aamilah,F,32
aamina,F,196
aaminah,F,229
aamir,F,6
aamir,M,1105
aamira,F,207
aamirah,F,139
aamiya,F,31
aamiyah,F,302
aamna,F,172
aamoni,F,10
aamori,F,87
aamya,F,121
aamyah,F,51
aana,F,7
aanav,M,6
aanaya,F,7
aanchal,F,59
aania,F,36
aaniah,F,33
aanijah,F,5
aanika,F,214
aanisah,F,27
aaniya,F,253
aaniyah,F,1026
aaniylah,F,11
aansh,M,11
aanshi,F,47
aanvi,F,81
aanya,F,1936
aanyah,F,78
aanyla,F,7
aaqib,M,22
aaqil,M,28
aara,F,50
aarabella,F,10
aaradhana,F,17
aaradhya,F,222
aaraiz,M,6
aaralyn,F,1023
aaralynn,F,224
aaran,M,119
aaratrika,F,5
aarav,M,3271
aaren,F,35
aaren,M,432
aareon,F,10
aareon,M,33
aareona,F,7
aari,M,5
aaria,F,157
aariah,F,163
aarian,F,40
aarian,M,76
aariana,F,331
aarianna,F,160
aarib,M,39
aaric,M,289
aarica,F,6
aarick,M,17
aarie,F,5
aariel,F,95
aarielle,F,24
aarik,M,101
aarika,F,163
aarilyn,F,84
aarin,F,91
aarin,M,276
aarini,F,68
aarion,F,71
aarion,M,299
aariona,F,198
aarionna,F,126
aaris,F,28
aaris,M,24
aarish,M,92
aarit,M,64
aariv,M,95
aariya,F,72
aariyah,F,276
aariyan,M,5
aariyana,F,74
aariyanna,F,14
aariyona,F,5
aariyonna,F,5
aariz,M,406
aarjav,M,15
aarna,F,830
aarnav,M,359
aarnavi,F,26
aaro,M,16
aaroh,M,5
aarohan,M,16
aarohi,F,266
aarolyn,F,6
aaron,F,550
aaron,M,144410
aaronae,F,5
aaronisha,F,6
aaronjacob,M,5
aaronjames,M,52
aaronjohn,M,21
aaronjoseph,M,7
aaronjosh,M,5
aaronjoshua,M,10
aaronmichael,M,20
aaronn,M,7
aaroosh,M,6
aarron,M,308
aarsh,M,43
aarshi,F,16
aarshiya,F,5
aarthi,F,75
aarti,F,148
aarush,M,1483
aarushi,F,589
aarvi,F,40
aarvin,M,5
aarya,F,950
aarya,M,263
aaryah,F,30
aaryan,F,6
aaryan,M,968
aaryana,F,88
aaryanna,F,193
aaryav,M,71
aaryn,F,536
aaryn,M,413
aaryon,M,10
aaryona,F,5
aaser,M,5
aasha,F,187
aashana,F,5
aashay,M,24
aashi,F,423
aashia,F,6
aashika,F,61
aashini,F,5
aashir,M,84
aashirya,F,15
aashish,M,89
aashita,F,6
aashiyana,F,12
aashka,F,112
aashman,M,5
aashna,F,502
aashni,F,46
aashray,M,5
aashrita,F,41
aashrith,M,92
aashritha,F,113
aashvi,F,138
aasia,F,168
aasim,M,149
aasin,M,19
aasir,M,29
aasiya,F,116
aasiyah,F,354
aason,M,17
aastha,F,246
aathan,M,5
aatif,M,5
aatish,M,16
aava,F,68
aavah,F,28
aaven,M,31
aavi,M,12
aavin,M,10
aavion,M,17
aavya,F,14
aavyan,M,5
aavyn,F,5
aavyn,M,6
aaya,F,32
aayaan,M,31
aayah,F,24
aayam,M,5
aayan,M,883
aayana,F,99
aayanah,F,10
aayanna,F,38
aayansh,M,34
aayat,F,40
aaydan,M,6
aayden,F,5
aayden,M,1006
aayla,F,304
aaylah,F,46
aayliah,F,76
aayra,F,5
aayu,M,6
aayush,M,936
aayusha,F,5
aayushi,F,195
aazan,M,5
aazim,M,15
aaziyah,F,18
ab,M,271
aba,F,10
aba,M,5
abaan,M,22
abad,M,68
abagael,F,134
abagail,F,4182
abagaile,F,10
abagale,F,303
abagayle,F,305
abaigael,F,13
abaigail,F,10
abaigeal,F,237
aban,M,16
abanoub,M,77
abas,M,60
abasi,M,5
abass,M,62
abayomi,M,48
abba,M,27
abbaas,M,5
abbagail,F,650
abbagale,F,125
abbagayle,F,106
abbas,M,759
abbe,F,125
abbee,F,124
abbegail,F,199
abbegale,F,77
abbegayle,F,68
abbey,F,7519
abbey,M,12
abbeygail,F,58
abbeygale,F,22
abbi,F,1012
abbie,F,6953
abbiegail,F,225
abbiegale,F,58
abbiegayle,F,18
abbigael,F,142
abbigail,F,8954
abbigail,M,5
abbigaile,F,91
abbigal,F,143
abbigale,F,1697
abbigayl,F,29
abbigayle,F,1067
abbilyn,F,12
abbot,M,12
abbott,F,18
abbott,M,332
abbriella,F,24
abbrielle,F,78
abby,F,25590
abby,M,58
abbye,F,78
abbygael,F,70
abbygail,F,2790
abbygaile,F,47
abbygale,F,669
abbygayl,F,6
abbygayle,F,386
abbylynn,F,18
abcde,F,323
abd,M,17
abdala,M,6
abdalah,M,6
abdalla,M,206
abdallah,M,770
abdalrahman,M,126
abdalrhman,M,5
abdel,M,285
abdelaziz,M,80
abdelhadi,M,5
abdelkareem,M,10
abdelkarim,M,22
abdellah,M,17
abdelrahman,M,419
abdelrhman,M,6
abderrahman,M,5
abdi,F,10
abdi,M,233
abdias,M,365
abdiasis,M,6
abdiaziz,M,107
abdiel,M,2740
abdifatah,M,168
abdihafid,M,9
abdihakim,M,24
abdihamid,M,5
abdikadir,M,114
abdikarim,M,21
abdikhaliq,M,5
abdilahi,M,10
abdimalik,M,141
abdinajib,M,5
abdinasir,M,135
abdiqani,M,20
abdirahim,M,56
abdirahman,M,1244
abdirashid,M,17
abdirisaq,M,12
abdirizak,M,66
abdisalam,M,5
abdisalan,M,6
abdisamad,M,18
abdishakur,M,39
abdiwahab,M,19
abdiwali,M,5
abdo,M,27
abdon,M,107
abdou,M,172
abdoul,M,328
abdoulaye,M,506
abdoulaziz,M,10
abdoulie,M,98
abdourahman,M,5
abdourahmane,M,18
abdrahman,M,15
abdu,M,11
abduallah,M,27
abdul,M,2130
abdula,M,5
abdulah,M,42
abdulahad,M,48
abdulahi,M,332
abdulai,M,75
abdulaye,M,5
abdulazeem,M,5
abdulazeez,M,20
abdulaziz,M,719
abdulbari,M,5
abdulbasit,M,13
abdulelah,M,22
abdulhadi,M,77
abdulhakeem,M,24
abdulhakim,M,16
